-439.40,-256.56
125.85,-823.51
750.08,851.41
76.32,351.51
-12.35,880.91
-801.65,408.16
-847.34,888.13
-716.83,-504.22
282.36,562.40
-670.25,-756.21
-704.30,950.08
833.24,720.99
-903.10,114.74
364.73,-226.75
50.43,249.58
354.13,-850.40
-405.13,-816.47
-629.37,-869.29
-190.20,958.11
-283.86,-123.93
522.82,-790.90
349.91,-734.94
-651.53,841.10
-810.92,-919.11
888.35,222.50
519.49,659.17
11.89,-203.57
487.06,338.24
532.10,-922.62
-735.24,61.57
-397.12,-112.13
-315.44,792.43
96.40,291.37
-592.94,391.11
-749.43,-190.91
803.55,-699.02
-633.83,-110.69
965.72,970.95
824.97,844.07
175.17,-349.89
564.58,376.47
804.26,803.86
-871.85,-404.44
712.44,-890.45
-626.55,-569.49
488.46,-785.13
235.43,-752.81
878.85,-164.14
386.06,32.29
332.76,-260.28
-174.75,677.51
-518.12,-370.76
910.02,431.07
691.63,-440.21
538.73,381.83
-146.95,522.62
-726.81,-207.17
-925.76,785.54
-200.93,459.08
477.58,957.88
-157.35,-402.23
-905.57,-889.09
-832.04,665.85
-458.70,110.27
718.73,-671.67
839.33,-764.59
-656.77,-809.09
911.98,-276.43
195.09,318.09
624.10,-420.68
283.56,-523.85
646.71,418.66
657.93,356.57
879.29,144.34
427.78,-874.84
-706.84,-47.78
-623.96,-977.58
-249.47,656.90
-487.02,-539.47
71.10,86.06
475.27,-2.04
839.57,-826.94
629.54,164.90
-207.38,-948.46
111.57,747.27
-399.07,-666.53
947.13,784.66
759.62,558.41
-143.06,693.18
680.95,-580.01
651.66,946.01
463.81,199.68
577.08,170.96
-186.70,939.65
-44.25,30.92
-353.96,403.54
944.31,365.72
-627.59,758.68
-955.76,482.47
-505.31,-98.82
538.45,-854.46
89.33,-40.86
500.22,-488.23
835.72,385.81
694.91,191.56
354.90,-364.37
109.70,974.43
-891.50,575.91
883.62,-627.30
584.62,184.12
-131.47,-352.23
-923.93,-109.22
-316.41,-824.04
-631.94,-130.30
-546.59,-754.14
-550.37,581.85
63.75,-392.63
136.65,-30.55
-990.43,910.44
197.27,597.70
840.31,-18.06
588.28,-451.92
511.66,-379.42
305.58,-540.39
